index,artist_name,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,artist_hotttness,song_hotttness,start_of_fade_out,tempo,time_signature,time_signature_confidence,title,release,year
0,SNAP!,0.0,315.03628,0.479,0.0,9,0.568,-10.1,1,0.397,0.4639000947923324,nan,309.156,118.175,4,0.901,The World In My Hands (We Are One),Welcome To Tomorrow,1994
1,Joy Kitikonti,0.0,413.04771,0.247,0.0,7,0.163,-7.55,1,0.411,0.3677447423876351,0.0,398.791,130.103,4,0.0,Pleasure Zone Mix,A Century Of Beatz,0
2,Karen Peck And New River,0.0,262.84363,0.486,0.0,7,0.664,-12.266,1,0.762,0.37383289436536393,0.3039777101881634,255.466,153.909,3,1.0,Four Days Late (Studio Track w/o Background Vocals),Four Days Late (Studio Track),0
3,Leroy Huston,0.0,291.57832,0.0,0.0,0,0.428,-10.073,1,0.373,0.49530669341111583,0.21508031850922793,291.578,113.837,4,0.0,Love Oh Love (Live in Chicago),Curtis In Chicago - Recorded Live!,0
4,Bobby Broom,0.0,481.48853,0.25,0.0,0,0.624,-15.466,1,0.499,0.3078629003228008,0.3347065490692206,444.929,137.51,4,0.274,MONDAY_ MONDAY,Stand,0
5,Jake Hess,0.0,154.61832,0.266,0.0,0,0.267,-24.385,1,0.401,0.3275438133781237,nan,144.893,138.257,4,0.324,I Just Love Old People (Rocky Mountain Homecoming Version),Rocky Mountain Homecoming,0
6,For Squirrels,0.0,200.07138,0.095,0.0,9,0.67,-4.737,1,0.626,0.3494579290257509,0.48456252996792964,187.826,162.909,4,0.724,Superstar,Example,1995
7,Alan Silvestri,0.0,77.60934,2.699,0.0,5,0.267,-17.944,0,0.621,0.45077989068682317,0.4477840511958349,72.15,82.556,4,0.789,We're Out Of Gas,Back To The Future III,1990
8,Handsome Boy Modeling School,0.0,297.66485,0.068,0.0,7,0.339,-6.454,1,0.413,0.4108507871165923,0.5382338755839849,288.624,215.349,3,0.925,Megaton B-Boy 2000 (LP Version),So..Hows Your Girl,0
9,Jack Orsen feat. Fumanschu_ Justus,0.0,210.54649,0.0,0.0,11,0.124,-3.275,0,0.5,0.23462531427645575,nan,205.351,100.078,4,0.917,Getto Boys,Note 1+,2004
10,Jesse Malin,0.0,261.17179,0.0,0.0,3,0.087,-6.281,1,0.272,0.4585920249078077,nan,261.172,178.531,7,0.555,Wendy,Mercury Retrograde,2002
11,Arc Angels,0.0,344.05832,0.0,0.0,7,0.745,-10.634,1,0.713,0.34936636110900054,0.5571877675186344,325.538,167.753,4,0.535,Sent By Angels,Arc Angels,1992
12,P.O.D.,0.0,255.73832,0.38,0.0,5,0.672,-6.137,0,0.621,0.5330853751571502,0.5287824809425877,234.887,143.881,4,0.246,Eyes Of A Stranger (Album Version),The Warriors EP_ Vol. 2,0
13,Alfredo Gutiérrez,0.0,153.88689,0.0,0.0,11,0.504,-5.394,1,0.647,0.2792557598816767,nan,150.32,187.874,3,0.425,El troyano,Serie Tradicional - El Rebelde del Acordeón  CD 2,0
14,A Day To Remember,0.0,245.96853,0.084,0.0,3,0.53,-4.301,1,0.578,0.5692399537354433,0.7471817957067781,238.51,100.013,4,0.416,The Plot To Bomb The Panhandle (Album Version),For Those Who Have Heart [Re-Issue],0
15,Fall Out Boy,0.0,203.54567,0.0,0.0,9,0.299,-1.217,1,0.693,0.5666228875581625,nan,203.546,178.518,4,0.0,Thriller,The Take Over_ The Break's Over,2007
16,Namatjira,0.0,291.63057,0.0,0.0,10,0.048,-8.933,0,0.335,0.3852101780459525,nan,288.908,128.991,1,0.147,1000 Of Years Ago,Ibiza Progressive Part 2,0
